v293r5_design_ship -- shipping candidates x every world x every test

======================================================================================================================================================
WORLD mode (b .0006, J 1e-4) | hold NEED x1.0
  cfg                              v | T1 dist |e| .5 1 2 s, rms  | T2 rise ov rms     | T3 pkpk | T5 rms e, pk rate, dwells, max|e| | T7 t50 t90 ov pk-rate past     | T8 mode-rms bursts max|e|hold ov rms-e damp
  SHIP DOB.8                      12 | 0.040 0.035 0.007 0.022    | 0.83 +0.08 0.369  |   0.19  | 0.038    3.6  0 0.077          | 0.57 0.80 +0.22   8.7 +0.67     |  0.65  1 0.134 +0.053 0.531 0.03
  SHIP DOB.8                      19 | 0.078 0.055 0.002 0.041    | 0.79 +0.14 0.370  |   0.31  | 0.041    3.6  0 0.095          | 0.62 0.85 +0.40   3.8 +0.57     |  0.47  0 0.202 +0.081 0.455 0.05
  SHIP DOB.8                      26 | 0.104 0.056 0.032 0.044    | 0.76 +0.17 0.368  |   0.04  | 0.042    3.6  0 0.101          | 0.64 0.86 +0.52   3.6 +0.46     |  0.36  0 0.214 +0.086 0.432 0.07

======================================================================================================================================================
WORLD ident (b F1, J 1e-4) | hold NEED x1.5
  cfg                              v | T1 dist |e| .5 1 2 s, rms  | T2 rise ov rms     | T3 pkpk | T5 rms e, pk rate, dwells, max|e| | T7 t50 t90 ov pk-rate past     | T8 mode-rms bursts max|e|hold ov rms-e damp
  R4-flown                         6 | 0.022 0.026 0.027 0.023    | 0.98 -0.02 0.381  |   1.52  | 0.075    7.8  1 0.097          | 0.54 1.98 -0.03  31.0 -0.34     |  2.60  2 0.375 -0.011 0.553 0.69
  R4-flown                         8 | 0.035 0.041 0.041 0.035    | 0.87 -0.03 0.380  |   0.60  | 0.080    4.5  0 0.101          | 0.56 2.21 -0.03  18.4 -0.20     |  1.75  2 0.369 -0.036 0.535 0.67
  R4-flown                        12 | 0.043 0.055 0.043 0.039    | 1.31 +0.01 0.381  |   0.90  | 0.071    2.2  0 0.093          | 0.64 1.76 +0.04   6.8 +0.14     |  0.57  1 0.328 +0.050 0.582 0.59
  R4-flown                        19 | 0.080 0.087 0.034 0.050    | 0.86 +0.02 0.372  |   0.57  | 0.058    3.6  0 0.109          | 0.71 2.08 -0.00   2.9 -0.00     |  0.32  0 0.188 +0.075 0.469 0.59
  R4-flown                        26 | 0.101 0.092 0.024 0.054    | 0.83 +0.02 0.369  |   0.01  | 0.060    3.6  0 0.116          | 0.75 2.19 -0.00   1.7 -0.00     |  0.27  0 0.091 +0.037 0.479 0.52
  SHIP Kp1.0 Kv1e-3 rc.03 DOB.6    6 | 0.017 0.018 0.008 0.011    | 0.93 +0.03 0.366  |   1.08  | 0.039    9.3  1 0.062          | 0.52 0.81 +0.10  33.1 +1.12     |  2.51  2 0.196 +0.058 0.562 0.38
  SHIP Kp1.0 Kv1e-3 rc.03 DOB.6    8 | 0.027 0.028 0.011 0.017    | 0.84 +0.04 0.362  |   0.42  | 0.040    5.9  1 0.069          | 0.53 0.84 +0.12  20.1 +0.80     |  1.68  2 0.121 +0.048 0.522 0.37
