v293r5_design_dobb -- the observer's model b, every world.  R5 = Kp 1.2, notch Q1, Kv 6e-4 rc .03, DOB .8, Ki .3 flat unless named.

======================================================================================================================================================
WORLD mode (b .0006, J 1e-4) | hold NEED x1.0
  cfg                            v | T1 dist |e| .5 1 2 s, rms  | T2 rise ov rms     | T3 pkpk | T5 rms e, pk rate, dwells, max|e| | T7 t50 t90 ov pk-rate past     | T8 mode-rms bursts max|e|hold ov rms-e damp
  R5 dobb .0006 Kv1e-3 rc.03     6 | 0.024 0.019 0.001 0.012    | 0.69 +0.12 0.345  |   1.59  | 0.029   12.5  1 0.058          | 0.46 0.56 +0.14  49.9 +1.68     |  5.48  2 0.223 +0.089 0.373 0.58
  R5 dobb .0006 Kv1e-3 rc.03     8 | 0.038 0.025 0.002 0.018    | 0.67 +0.18 0.346  |   1.24  | 0.030    8.2  1 0.065          | 0.47 0.56 +0.15  31.5 +1.02     |  3.63  2 0.229 +0.092 0.347 0.56
  R5 dobb .0006 Kv1e-3 rc.03    12 | 0.060 0.024 0.003 0.028    | 0.65 +0.20 0.340  |   0.74  | 0.032    4.9  0 0.073          | 0.47 0.55 +0.16  17.9 +0.52     |  2.76  4 0.315 +0.126 0.325 0.60
  R5 dobb .0006 Kv1e-3 rc.03    19 | 0.105 0.028 0.007 0.047    | 0.64 +0.16 0.339  |   0.41  | 0.037    3.5  0 0.091          | 0.52 0.58 +0.26   9.5 +0.38     |  2.36  0 0.233 +0.093 0.339 0.56
  R5 dobb .0006 Kv1e-3 rc.03    26 | 0.112 0.023 0.009 0.057    | 0.63 +0.11 0.335  |   0.10  | 0.039    3.6  0 0.097          | 0.53 0.59 +0.35   6.4 +0.31     |  1.86  0 0.153 +0.061 0.345 0.52
  R5 dobb .0006 Kp1.0            6 | 0.027 0.017 0.002 0.013    | 0.69 +0.17 0.348  |   2.05  | 0.029   13.6  1 0.060          | 0.47 0.56 +0.19  52.6 +2.28     |  5.76  3 0.295 +0.118 0.376 0.55
  R5 dobb .0006 Kp1.0            8 | 0.042 0.023 0.003 0.020    | 0.67 +0.23 0.349  |   1.71  | 0.031    9.0  1 0.068          | 0.48 0.57 +0.20  32.8 +1.34     |  4.18  2 0.283 +0.113 0.354 0.57
  R5 dobb .0006 Kp1.0           12 | 0.064 0.023 0.004 0.029    | 0.65 +0.22 0.342  |   1.03  | 0.033    5.2  1 0.076          | 0.48 0.56 +0.19  18.3 +0.59     |  3.01  3 0.355 +0.142 0.332 0.58
  R5 dobb .0006 Kp1.0           19 | 0.113 0.031 0.009 0.050    | 0.63 +0.17 0.341  |   0.47  | 0.038    3.5  0 0.094          | 0.53 0.60 +0.28   9.0 +0.40     |  2.73  0 0.244 +0.098 0.345 0.56
  R5 dobb .0006 Kp1.0           26 | 0.139 0.011 0.028 0.057    | 0.63 +0.10 0.336  |   0.07  | 0.040    3.6  0 0.100          | 0.54 0.61 +0.33   6.0 +0.29     |  1.81  0 0.161 +0.064 0.348 0.55
