# EVENTS (matched high-desired-jerk, s2 matcher): median paired gap vs V282, s  [route-2-sided 95% CI]
group    speed   pairs |              shaping |        loop+plant+RT |              vehicle |         TOTAL logged |   lead |         TOTAL common
T64B  >22   0.6-1.2  hi    |  +0.050[+0.04,+0.05](+0.054) |  -0.043[-0.07,-0.00] |  -0.000[-0.03,+0.04] |  -0.007[-0.04,+0.07] |  -0.108[-0.14,-0.03]
T64B  >22   0.6-1.2  all   |  +0.050[+0.05,+0.05](+0.054) |  -0.039[-0.07,+0.01] |  +0.006[-0.02,+0.04] |  -0.006[-0.05,+0.06] |  -0.107[-0.15,-0.04]
T5    8-15  0.15-0.3 hi    |  +0.256[+0.23,+0.27](+0.245) |  -0.026[-0.12,+0.15] |  +0.011[-0.01,+0.03] |  +0.238[+0.16,+0.41] |  +0.145[+0.06,+0.31]
T5    8-15  0.15-0.3 all   |  +0.255[+0.24,+0.27](+0.245) |  -0.022[-0.10,+0.13] |  +0.008[-0.01,+0.03] |  +0.236[+0.17,+0.38] |  +0.143[+0.08,+0.29]
T5    15-22 0.15-0.3 mid   |  +0.253[+0.25,+0.29](+0.247) |  +0.273[+0.12,+0.30] |  -0.040[-0.07,-0.01] |  +0.478[+0.30,+0.52] |  +0.387[+0.20,+0.43]
T5    15-22 0.15-0.3 hi    |  +0.255[+0.25,+0.26](+0.249) |  +0.185[+0.09,+0.29] |  +0.001[-0.04,+0.02] |  +0.436[+0.34,+0.54] |  +0.346[+0.25,+0.45]
T5    15-22 0.15-0.3 all   |  +0.255[+0.25,+0.26](+0.249) |  +0.182[+0.08,+0.27] |  -0.010[-0.04,+0.01] |  +0.417[+0.31,+0.50] |  +0.328[+0.22,+0.41]
T5    >22   0.15-0.3 mid   |  +0.258[+0.24,+0.27](+0.250) |  +0.344[+0.30,+0.36] |  -0.052[-0.09,+0.04] |  +0.568[+0.50,+0.62] |  +0.471[+0.40,+0.53]
T5    >22   0.15-0.3 hi    |  +0.251[+0.25,+0.26](+0.251) |  +0.230[+0.17,+0.28] |  -0.010[-0.05,+0.02] |  +0.469[+0.39,+0.54] |  +0.379[+0.30,+0.45]
T5    >22   0.15-0.3 all   |  +0.252[+0.25,+0.26](+0.251) |  +0.219[+0.15,+0.27] |  -0.024[-0.05,+0.01] |  +0.440[+0.36,+0.52] |  +0.350[+0.27,+0.42]
T5    8-15  0.3-0.6  hi    |  +0.215[+0.16,+0.26](+0.245) |  +0.024[-0.04,+0.06] |  +0.001[-0.02,+0.02] |  +0.247[+0.14,+0.32] |  +0.164[+0.07,+0.23]
T5    8-15  0.3-0.6  all   |  +0.217[+0.16,+0.26](+0.245) |  +0.013[-0.05,+0.05] |  -0.001[-0.02,+0.02] |  +0.237[+0.13,+0.30] |  +0.152[+0.06,+0.21]
T5    15-22 0.3-0.6  mid   |  +0.240[+0.23,+0.25](+0.245) |  +0.021[-0.10,+0.09] |  -0.022[-0.06,+0.01] |  +0.209[+0.06,+0.31] |  +0.125[-0.03,+0.22]
T5    15-22 0.3-0.6  hi    |  +0.240[+0.23,+0.25](+0.245) |  +0.128[+0.05,+0.17] |  -0.003[-0.03,+0.01] |  +0.362[+0.27,+0.41] |  +0.273[+0.18,+0.32]
T5    15-22 0.3-0.6  all   |  +0.241[+0.23,+0.24](+0.245) |  +0.105[+0.04,+0.14] |  -0.006[-0.03,+0.01] |  +0.321[+0.23,+0.37] |  +0.232[+0.14,+0.28]
T5    >22   0.3-0.6  lo    |  +0.218[+0.18,+0.24](+0.240) |  +0.063[-0.15,+0.13] |  -0.113[-0.15,-0.06] |  +0.156[-0.13,+0.26] |  +0.057[-0.22,+0.15]
T5    >22   0.3-0.6  mid   |  +0.231[+0.20,+0.24](+0.238) |  +0.141[+0.03,+0.21] |  -0.104[-0.13,-0.04] |  +0.276[+0.18,+0.35] |  +0.183[+0.09,+0.26]
T5    >22   0.3-0.6  hi    |  +0.237[+0.23,+0.24](+0.243) |  +0.095[+0.03,+0.16] |  -0.069[-0.09,-0.02] |  +0.267[+0.20,+0.35] |  +0.175[+0.11,+0.25]
T5    >22   0.3-0.6  all   |  +0.236[+0.23,+0.24](+0.242) |  +0.089[+0.02,+0.15] |  -0.081[-0.10,-0.03] |  +0.240[+0.17,+0.32] |  +0.147[+0.08,+0.23]
T5    8-15  0.6-1.2  lo    |  +0.230[+0.21,+0.26](+0.238) |  -0.084[-0.46,+0.27] |  +0.060[+0.02,+0.10] |  -0.040[-0.46,+0.09] |  -0.159[-0.57,+0.01]
T5    8-15  0.6-1.2  mid   |  +0.222[+0.21,+0.24](+0.239) |  -0.143[-0.30,-0.03] |  +0.006[-0.02,+0.05] |  +0.030[-0.15,+0.13] |  -0.067[-0.25,+0.04]
T5    8-15  0.6-1.2  hi    |  +0.187[+0.16,+0.24](+0.240) |  -0.152[-0.21,-0.05] |  -0.020[-0.04,-0.01] |  -0.007[-0.09,+0.12] |  -0.077[-0.14,+0.04]
T5    8-15  0.6-1.2  all   |  +0.189[+0.16,+0.23](+0.239) |  -0.150[-0.20,-0.06] |  -0.012[-0.02,-0.00] |  -0.007[-0.09,+0.10] |  -0.079[-0.15,+0.02]
T5    15-22 0.6-1.2  lo    |  +0.230[+0.22,+0.24](+0.233) |  +0.006[-0.13,+0.23] |  +0.031[-0.01,+0.10] |  +0.040[-0.07,+0.20] |  -0.059[-0.24,+0.15]
T5    15-22 0.6-1.2  mid   |  +0.213[+0.21,+0.22](+0.239) |  -0.097[-0.16,+0.01] |  -0.001[-0.04,+0.03] |  +0.037[-0.02,+0.11] |  -0.053[-0.11,+0.02]
T5    15-22 0.6-1.2  hi    |  +0.218[+0.20,+0.23](+0.241) |  -0.040[-0.17,+0.04] |  -0.005[-0.03,+0.03] |  +0.108[-0.03,+0.16] |  +0.021[-0.11,+0.08]
